trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
326,False,"{'a': 0.9, 'e': 9.409462155143212e-06}",25,8,30.07141508411435,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.9, 'e': 9.351999925184e-06}",20,8,-6.972765803816047,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
328,False,"{'a': 0.9, 'e': 9.29506246281975e-06}",35,12,41.38428375567675,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.9, 'e': 9.238643397603495e-06}",20,13,11.265758633527689,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.9, 'e': 9.182736455463728e-06}",20,3,28.263785131958414,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.9, 'e': 9.127335456960049e-06}",30,18,20.22345951668263,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.9, 'e': 9.072434315575554e-06}",20,0,31.359870608675475,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
333,False,"{'a': 0.9, 'e': 9.018027036045055e-06}",20,13,14.455511659369364,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.9, 'e': 8.964107712718276e-06}",30,14,27.184117523363163,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.9, 'e': 8.910670527957229e-06}",20,9,21.05216522560389,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.9, 'e': 8.857709750566894e-06}",25,11,22.273366829268063,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.9, 'e': 8.805219734258468e-06}",35,15,23.81713071053779,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
338,False,"{'a': 0.9, 'e': 8.753194916144393e-06}",20,6,27.46757424438519,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
